index,Event_code
387,CAM-EPLF002
388,CAM-HHQE005
389,CAM-HJQE001
390,CAM-HZHE002
391,CAM-ZZQX162
392,CAM-ZZQX163
393,CAM-ZZQX200
394,CAM-ZZQX217
395,LPP-1193930
396,ICD-K522
397,ICD-D648
398,ICD-E738
399,ICD-K904
400,ICD-T784
401,LPP-6165759
402,LPP-6148703
403,ATC-R01AD11
404,ATC-J06BD08
405,ATC-S01AE02
406,LPP-6381090
407,LPP-7248329
408,LPP-7214460
409,ATC-D07AC06
410,ATC-D10AF02
411,LPP-1348550
412,LPP-1385663
413,LPP-1314367
414,LPP-1365896
415,CAM-QAJA004
416,ATC-J01XC01
417,ATC-R03DC03
418,BIO-174
419,BIO-1203
420,CAM-FAFA008
421,ATC-S01GX02
422,LPP-6185609
423,ICD-J040
424,ATC-S01GX01
425,LPP-2122121
426,CAM-AFHB002
427,CAM-AZQP002
428,CAM-GLQP005
429,ICD-P369
430,ICD-P711
431,ATC-D08AC04
432,ATC-P02CC01
433,CAM-NDQK001
434,CAM-ACQK001
435,CAM-HSLD001
436,ICD-P104
437,ICD-P015
438,ICD-P031
439,ICD-P033
440,ICD-P704
441,ATC-A03FA01
442,ATC-R05X
443,ATC-R01AX10
444,ICD-J458
445,CAM-GLLD017
446,ATC-R03BB01
447,ATC-R03AC03
448,ATC-J01FA06
449,ICD-J209
450,CAM-GAND001
451,LPP-6132636
452,LPP-7219760
453,LPP-7239773
454,LPP-6323827
455,CAM-GAME001
456,CAM-ZZLP030
457,ICD-J348
458,LPP-6370784
459,CAM-JHFA009
460,LPP-7212604
461,BIO-4500
462,ICD-P038
463,CAM-GLHF001
464,ICD-P073
465,ICD-P030
466,CAM-DEQP005
467,CAM-AAQM002
468,CAM-AAQP011
469,CAM-ZZQM005
470,ICD-B370
471,ICD-P922
472,ICD-P928
473,ICD-R681
474,ICD-Z713
475,ATC-J01EE01
476,LPP-1126520
477,LPP-1132130
478,LPP-6370838
479,BIO-4504
480,CAM-MGQK003
481,LPP-6324241
482,CAM-CDQP004
483,ICD-J219
484,LPP-7230855
485,LPP-1398743
486,ATC-S02AA12
487,LPP-7231671
488,ICD-P210
489,LPP-1140252
490,LPP-1382541
491,CAM-BZQP002
492,CAM-MZQK003
493,LPP-7143033
494,LPP-6143060
495,LPP-2159526
496,CAM-NGQK001
497,CAM-BZQM002
498,LPP-7211556
499,CAM-MDQK001
500,LPP-2156864
501,ICD-P282
502,ICD-B962
503,ICD-P228
504,ICD-P393
505,BIO-5219
506,BIO-1154
507,BIO-1610
508,CAM-AAQP007
509,ICD-P90
510,ATC-N03AA02
511,BIO-333
512,CAM-AAQP002
513,BIO-5214
514,ATC-D01AC08
515,ATC-A06AD12
516,LPP-2269025
517,ATC-D07AD01
518,ICD-N47
519,LPP-2262678
520,LPP-7214336
521,LPP-7230795
522,ATC-J07BC01
523,CAM-JHQM001
524,CAM-QZNP004
525,ATC-A07DA03
526,CAM-ALQP002
527,ATC-N06BA04
528,ICD-F918
529,ICD-F900
530,ICD-Z290
531,ATC-N05AX08
532,ICD-Z742
533,ICD-U071
534,ICD-Z098
535,BIO-591
536,ATC-N06AA09
537,ATC-A06AD65
538,BIO-5258
539,ICD-P082
540,ATC-P02CA03
541,LPP-6140363
542,ICD-H653
543,BIO-5215
544,LPP-6380191
545,ICD-E109
546,ICD-R35
547,ICD-R631
548,ATC-H04AA01
549,LPP-6124625
550,LPP-6111752
551,LPP-1177611
552,LPP-6124619
553,LPP-1190296
554,ATC-A10AE04
555,ATC-A10AB04
556,LPP-6113231
557,LPP-6380825
558,LPP-6380363
559,LPP-1146183
560,LPP-1131170
561,LPP-1120663
562,LPP-6344083
563,LPP-6388778
564,LPP-1110720
565,LPP-6383025
566,LPP-6381109
567,ICD-R739
568,BIO-2007
569,ICD-E108
570,ICD-Z451
571,LPP-6140386
572,LPP-1139616
573,LPP-1102330
574,LPP-1171181
575,CAM-BZQK001
576,LPP-6380222
577,BIO-1133
578,BIO-1577
579,BIO-627
580,BIO-1487
581,LPP-2120725
582,CAM-QZFA015
583,ATC-R01AD12
584,ATC-J07CA01
585,LPP-2140455
586,CAM-JHMA001
587,LPP-6324471
588,CAM-FGRP005
589,ICD-Z291
590,ICD-P598
591,LPP-1353752
592,LPP-1125086
593,LPP-1314976
594,ATC-S01KA02
595,CAM-NAQK007
596,LPP-6166820
597,LPP-6323780
598,ATC-M01AE03
599,ATC-R01AA05
600,LPP-6364170
601,LPP-6323804
602,ATC-D06BA01
603,ATC-J07BK01
604,LPP-7838640
605,LPP-7206160
606,LPP-6324991
607,LPP-6323796
608,LPP-6370790
609,ICD-T266
610,LPP-7250496
611,ATC-D07AC16
612,BIO-1510
613,LPP-7215360
614,LPP-7239862
615,BIO-1247
616,BIO-1246
617,LPP-6187301
618,LPP-6126653
619,ICD-P128
620,ICD-Q621
621,ICD-Z827
622,CAM-JAQL003
623,CAM-JBFA002
624,CAM-JCLE002
625,LPP-1394751
626,CAM-ZCQK002
627,ICD-A090
628,ICD-R630
629,CAM-JCGE004
630,ICD-Z458
631,CAM-JAQM003
632,BIO-563
633,LPP-1387314
634,CAM-KCFA011
635,ICD-Q182
636,ICD-Q180
637,ICD-Q188
638,LPP-1309343
639,LPP-1326560
640,LPP-1320913
641,LPP-1371253
642,LPP-1368908
643,LPP-1389603
644,LPP-1307700
645,ICD-Q892
646,LPP-1321982
647,CAM-HBFD474
648,BIO-2258
649,BIO-532
650,CAM-ZZQL017
651,BIO-182
652,CAM-JACA002
653,ICD-N130
654,CAM-HBQK061
655,LPP-7231790
656,LPP-6317258
657,LPP-6312500
658,ICD-J00
659,CAM-DEQP004
660,ICD-J218
661,LPP-1374300
662,BIO-1387
663,BIO-1374
664,ICD-P081
665,ICD-P391
666,CAM-PBQM003
667,LPP-6362709
668,ATC-R05CB01
669,CAM-PBQM002
670,LPP-6323773
671,ICD-P012
672,ICD-P925
673,ICD-P026
674,LPP-7231599
675,ICD-P200
676,LPP-1349029
677,BIO-5209
678,LPP-2261874
679,LPP-2285136
680,LPP-2283953
681,LPP-2247041
682,LPP-7234333
683,LPP-7220437
684,LPP-7234563
685,LPP-7142944
686,CAM-LAQK012
687,CAM-HSLD002
688,ICD-K590
689,ICD-L22
690,ICD-P071
691,ICD-P284
692,ICD-P375
693,ICD-P590
694,ICD-P612
695,ICD-P921
696,ICD-Q208
697,ICD-R001
698,ICD-R011
699,ICD-Z278
700,ICD-Z273
701,ICD-P788
